# %ECSV 0.9
# ---
# datatype:
# - {name: lambda, unit: nm, datatype: float64}
# - {name: theta, unit: degree, datatype: float64}
# - {name: o0, datatype: float64}
# - {name: o1, datatype: float64}
# - {name: o2, datatype: float64}
# - {name: o3, datatype: float64}
# - {name: o4, datatype: float64}
# - {name: o5, datatype: float64}
# - {name: o6, datatype: float64}
# - {name: o7, datatype: float64}
# - {name: o8, datatype: float64}
# - {name: o9, datatype: float64}
# - {name: o10, datatype: float64}
# - {name: o11, datatype: float64}
# - {name: o12, datatype: float64}
# meta: !!omap
# - keywords: !!omap
#   - {Author: Ralf Heilmann}
#   - {ORIGFILE: Si_4um_deep_30pct_dc.xlsx}
#   - {Description: Calculated grating efficiencies}
#   - {Grating: Si 4 my deep}
lambda theta o0 o1 o2 o3 o4 o5 o6 o7 o8 o9 o10 o11 o12
0.8 1.7 0.186437863 0.270864204 0.0902695991 0.0189442237 0.0035238612 0.0002274052 0.0013039893 0.0007819501 5.64E-05 7.41E-05 0.0006946285 0.000989973 0.0003176949
0.8 1.75 0.218020437 0.270085819 0.0849018519 0.0139984989 0.0029083117 0.0002849559 0.0015276859 0.0007665511 4.25E-05 7.83E-05 0.0002481614 0.0006975031 0.0001618076
0.8 1.8 0.251440872 0.266242627 0.0783239884 0.0103234998 0.0024454995 0.000420787 0.0014826653 0.0006564955 3.25E-05 0.0001156341 0.0001011949 0.0002903847 3.33E-05
0.8 1.85 0.287210117 0.259502839 0.0706841335 0.0077086108 0.0019878832 0.0005481087 0.0011641576 0.0004532213 1.84E-05 0.0001537046 0.0001676825 5.13E-05 7.86E-05
0.8 1.9 0.325574243 0.250027221 0.0624720516 0.0061220192 0.0015471409 0.0005914557 0.000709421 0.0002515052 1.02E-05 0.0001758348 0.0002715754 1.37E-05 0.0002281789
0.8 1.95 0.366043048 0.238310477 0.0545725789 0.0055769859 0.0011673046 0.0005238833 0.0003218262 0.0001314776 1.33E-05 0.0001882255 0.0002900778 4.73E-05 0.0002929764
0.8 2 0.408822741 0.225380078 0.0475191721 0.0057919129 0.0008411668 0.000371021 0.0001232987 8.98E-05 2.45E-05 0.0001836953 0.0002008646 5.26E-05 0.0002018334
0.8 2.05 0.453338134 0.211216736 0.0411681658 0.0063846706 0.000576158 0.0001843102 0.0001365963 9.45E-05 3.36E-05 0.0001521921 8.56E-05 3.28E-05 6.02E-05
0.8 2.1 0.497147953 0.194965167 0.0354287157 0.007100135 0.0003809661 3.98E-05 0.000316376 0.0001116214 3.22E-05 0.0001087875 2.77E-05 1.89E-05 4.82E-06
0.8 2.15 0.538733516 0.176935473 0.0305490682 0.0077046603 0.0002333853 5.14E-06 0.0005372133 0.0001067382 2.28E-05 6.91E-05 2.38E-05 1.39E-05 4.17E-05
0.8 2.2 0.578612322 0.158121326 0.0265311521 0.0079960863 0.0001229774 7.23E-05 0.0006465124 7.44E-05 9.66E-06 3.47E-05 2.99E-05 8.14E-06 7.05E-05
0.8 2.25 0.616752949 0.138829562 0.0231775199 0.0079385461 5.54E-05 0.0001824309 0.0005813977 3.65E-05 1.85E-07 2.22E-05 2.90E-05 2.67E-06 4.56E-05
0.8 2.3 0.652169095 0.119560269 0.0205657989 0.0075778982 2.22E-05 0.0002920832 0.0003977221 1.14E-05 9.29E-06 5.03E-05 2.67E-05 4.56E-06 1.54E-05
0.8 2.35 0.686029845 0.101562712 0.0186103555 0.0068652476 5.92E-06 0.0003587161 0.0001909824 3.75E-06 3.62E-05 9.26E-05 2.48E-05 9.73E-06 1.32E-05
0.8 2.4 0.719136142 0.0851955846 0.0168139524 0.0058207968 1.97E-07 0.0003449223 4.33E-05 1.22E-05 5.98E-05 0.0001027187 2.12E-05 8.36E-06 2.11E-05
0.8 2.45 0.747732817 0.0698171387 0.0150875128 0.0047136532 1.33E-05 0.0002724356 4.01E-06 3.13E-05 6.71E-05 7.43E-05 1.60E-05 5.17E-06 2.64E-05
0.8 2.5 0.771221457 0.0556962689 0.0135401642 0.0036875847 5.45E-05 0.0001837759 4.83E-05 4.73E-05 5.63E-05 2.91E-05 7.34E-06 8.75E-06 2.59E-05
0.8 2.55 0.792238206 0.0433864806 0.0118784106 0.0026888946 0.0001329854 0.0001043692 0.0001222313 4.95E-05 2.83E-05 1.50E-06 2.65E-07 1.15E-05 1.87E-05
